No.,Feature1,Feature2,Feature3,Feature4,Feature5,Expected Output
12,0.956363636,0.386666667,0.069844263,0.019864302,0.022742687,0.443662248
12,0.956363636,0.386666667,0.073920494,0.020957029,0.034289922,0.424669366
12,0.956363636,0.386666667,0.072018041,0.020234809,0.041296615,0.4440168
12,0.956363636,0.386666667,0.077750437,0.017260796,0.027670171,0.426591137
12,0.956363636,0.386666667,0.073696706,0.017374638,0.033900204,0.426626715
12,0.956363636,0.386666667,0.073427814,0.012437552,0.018203972,0.445636411
12,0.956363636,0.386666667,0.071385837,0.019972001,0.047145673,0.44301206
12,0.956363636,0.386666667,0.069471804,0.026953359,0.029550991,0.418764559
12,0.956363636,0.386666667,0.074741273,0.020964686,0.034730607,0.416499097
12,0.956363636,0.386666667,0.059536809,0.013702963,0.037970269,0.438516694
12,0.956363636,0.386666667,0.073708774,0.025291152,0.034954633,0.449231345
12,0.956363636,0.386666667,0.070361006,0.016241103,0.043129837,0.427091204
12,0.956363636,0.386666667,0.076854926,0.020020989,0.031970179,0.423720738
12,0.956363636,0.386666667,0.06542576,0.023963268,0.026547891,0.429942984
12,0.956363636,0.386666667,0.06982935,0.024563824,0.026835792,0.429310846
12,0.956363636,0.386666667,0.082151282,0.025250184,0.027484296,0.436622966
12,0.956363636,0.386666667,0.077479382,0.021631876,0.035924735,0.450242374
12,0.956363636,0.386666667,0.06318178,0.016196924,0.038256053,0.434525878
12,0.956363636,0.386666667,0.073009798,0.01764083,0.03990961,0.441599682
12,0.956363636,0.386666667,0.075404719,0.020717549,0.038915025,0.425192541
12,0.956363636,0.386666667,0.071601397,0.017920004,0.047384258,0.431983946
12,0.956363636,0.386666667,0.072849516,0.02311868,0.036312988,0.428071829
12,0.956363636,0.386666667,0.067720417,0.015208075,0.03774332,0.443614645
12,0.956363636,0.386666667,0.070020747,0.019750306,0.035906039,0.438819856
12,0.956363636,0.386666667,0.072362025,0.01869185,0.041884933,0.449694024
12,0.956363636,0.386666667,0.073489684,0.024000671,0.039865269,0.424395091
12,0.956363636,0.386666667,0.084382886,0.031994321,0.043398956,0.426311975
12,0.956363636,0.386666667,0.081054833,0.021785809,0.030481515,0.424732358
12,0.956363636,0.386666667,0.078565841,0.020602115,0.047237126,0.434625038
12,0.956363636,0.386666667,0.076573227,0.0192702,0.032909807,0.425817269
12,0.956363636,0.386666667,0.069705737,0.018482965,0.032208389,0.439096312
12,0.956363636,0.386666667,0.065503561,0.0225705,0.033694953,0.440898623
12,0.956363636,0.386666667,0.064967273,0.020689775,0.039340106,0.442011952
12,0.956363636,0.386666667,0.061534774,0.016357589,0.036443282,0.436378347
12,0.956363636,0.386666667,0.081152905,0.020428098,0.042477619,0.423804872
12,0.956363636,0.386666667,0.063398494,0.018351561,0.033413028,0.412316378
12,0.956363636,0.386666667,0.077028257,0.017482898,0.040171259,0.442637786
12,0.956363636,0.386666667,0.065671068,0.015648417,0.029951551,0.442986424
12,0.956363636,0.386666667,0.064678176,0.017036922,0.044947309,0.435955859
12,0.956363636,0.386666667,0.075740343,0.018122865,0.044082255,0.451244064
12,0.956363636,0.386666667,0.083481373,0.022345132,0.037342387,0.41629091
12,0.956363636,0.386666667,0.075359958,0.020127908,0.047370168,0.448239883
12,0.956363636,0.386666667,0.077882352,0.023249095,0.026972772,0.440470557
12,0.956363636,0.386666667,0.076182541,0.020785435,0.047505576,0.459481923
12,0.956363636,0.386666667,0.068819334,0.020643383,0.020483229,0.451471242
12,0.956363636,0.386666667,0.062524343,0.019236793,0.042273851,0.448841434
12,0.956363636,0.386666667,0.07576851,0.018303682,0.03080462,0.413059314
12,0.956363636,0.386666667,0.088042678,0.027052874,0.027392215,0.427014534
12,0.956363636,0.386666667,0.077394822,0.021864474,0.024138199,0.447552473
12,0.956363636,0.386666667,0.074007583,0.023315596,0.040750003,0.426098289
12,0.956363636,0.386666667,0.064372089,0.021538236,0.039820745,0.437762173
12,0.956363636,0.786666667,0.294667325,0.065135214,0.167154002,0.753277563
12,0.956363636,0.786666667,0.366764261,0.082098589,0.215465272,0.748807078
12,0.956363636,0.786666667,0.37957413,0.092293551,0.197100706,0.723309279
12,0.956363636,0.786666667,0.281872247,0.056221624,0.176385442,0.752751674
12,0.956363636,0.786666667,0.304090295,0.07000272,0.17785325,0.738516893
12,0.956363636,0.786666667,0.370969147,0.083435525,0.205150214,0.742459817
12,0.956363636,0.786666667,0.327231691,0.060193355,0.196867531,0.761903451
12,0.956363636,0.786666667,0.333575152,0.073836127,0.224277112,0.729291516
12,0.956363636,0.786666667,0.381496677,0.085348608,0.238237766,0.746607648
12,0.956363636,0.786666667,0.342226743,0.083776809,0.209850015,0.731249328
12,0.956363636,0.786666667,0.384678068,0.090923259,0.217870857,0.754576474
12,0.956363636,0.786666667,0.357363992,0.079682053,0.203288376,0.73723281
12,0.956363636,0.786666667,0.378094151,0.084657457,0.220192583,0.775652114
12,0.956363636,0.786666667,0.403022139,0.087346587,0.246625379,0.761210376
12,0.956363636,0.786666667,0.368409306,0.08657359,0.219787234,0.756570531
12,0.956363636,0.786666667,0.409694477,0.090012429,0.233358184,0.744323151
12,0.956363636,0.786666667,0.428729592,0.097287848,0.235909327,0.756997789
12,0.956363636,0.786666667,0.41433784,0.091747644,0.244924177,0.746740262
12,0.956363636,0.786666667,0.478460278,0.108119705,0.252791963,0.719246362
12,0.956363636,0.786666667,0.406109811,0.095491232,0.241967524,0.75299844
12,0.956363636,0.786666667,0.408091022,0.092309169,0.229003544,0.775552686
12,0.956363636,0.786666667,0.409492899,0.086157212,0.233061091,0.767506455
12,0.956363636,0.786666667,0.363171373,0.078863683,0.238043981,0.759138105
12,0.956363636,0.786666667,0.380111079,0.086505742,0.213640586,0.737302892
12,0.956363636,0.786666667,0.509463657,0.115218442,0.251185805,0.748197811
12,0.956363636,0.786666667,0.449389467,0.103562915,0.228890471,0.773324321
12,0.956363636,0.786666667,0.516899785,0.116128311,0.255556422,0.743194863
12,0.956363636,0.786666667,0.388203362,0.088076712,0.213997485,0.777459088
12,0.956363636,0.786666667,0.348454582,0.080864447,0.213415359,0.791133654
12,0.956363636,0.786666667,0.45420692,0.103651848,0.23984545,0.759964863
12,0.956363636,0.786666667,0.468706924,0.106195903,0.244079863,0.759181046
12,0.956363636,0.786666667,0.39562098,0.089425794,0.238957898,0.775327702
12,0.956363636,0.786666667,0.341841147,0.080184697,0.201308472,0.77860062
12,0.956363636,0.786666667,0.417933916,0.094893293,0.229577733,0.761064774
12,0.956363636,0.786666667,0.390873994,0.09245031,0.243103403,0.767109842
12,0.956363636,0.786666667,0.363652027,0.082860494,0.219943227,0.770399068
12,0.956363636,0.786666667,0.386666175,0.088498371,0.256325571,0.767810205
12,0.956363636,0.786666667,0.466293223,0.099584664,0.278322888,0.730229188
12,0.956363636,0.786666667,0.432862882,0.094416963,0.219873155,0.777411894
12,0.956363636,0.786666667,0.39364861,0.085844412,0.228095682,0.758541647
12,0.956363636,0.786666667,0.470672694,0.108005461,0.256740678,0.734650896
12,0.956363636,0.786666667,0.411408927,0.093274349,0.227916408,0.74117075
